Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity
366000,1,1/1/2016,,265598,10,1304,1
366001,1,1/1/2016,1/13/2016,1269051,0,1048,2
366001,2,1/1/2016,1/13/2016,1269051,0,2007,1
366002,1,1/1/2016,1/12/2016,266019,0,1106,7
366002,2,1/1/2016,1/12/2016,266019,0,373,1
366002,3,1/1/2016,1/12/2016,266019,0,1080,4
366004,1,1/1/2016,,1107461,38,163,6
366004,2,1/1/2016,,1107461,38,1529,2
366005,1,1/1/2016,,844003,33,421,4
366007,1,1/1/2016,,2035771,43,1617,1
366007,2,1/1/2016,,2035771,43,666,5
366008,1,1/1/2016,,759705,29,1154,9
366008,2,1/1/2016,,759705,29,2510,1
366008,3,1/1/2016,,759705,29,1060,5
366009,1,1/1/2016,,254540,9,1648,1
366010,1,1/1/2016,1/8/2016,370077,0,618,5
366011,1,1/1/2016,,1984985,66,128,7
366011,2,1/1/2016,,1984985,66,1638,1
366011,3,1/1/2016,,1984985,66,1634,1
366011,4,1/1/2016,,1984985,66,2392,3
366012,1,1/1/2016,,1977527,65,1807,1
366012,2,1/1/2016,,1977527,65,1594,4
366012,3,1/1/2016,,1977527,65,1297,1
366013,1,1/1/2016,,1187306,41,1654,5
366014,1,1/1/2016,1/6/2016,738549,0,123,1
366014,2,1/1/2016,1/6/2016,738549,0,1700,2
366016,1,1/1/2016,,1982762,63,1253,7
367000,1,1/2/2016,,1438050,56,1176,1
367003,1,1/2/2016,,980164,40,153,2
367004,1,1/2/2016,,1853699,56,136,1
367004,2,1/2/2016,,1853699,56,1637,4
367005,1,1/2/2016,1/10/2016,758280,0,1691,1
367005,2,1/2/2016,1/10/2016,758280,0,319,2
367005,3,1/2/2016,1/10/2016,758280,0,1674,8
367005,4,1/2/2016,1/10/2016,758280,0,2511,9
367005,5,1/2/2016,1/10/2016,758280,0,1720,2
367005,6,1/2/2016,1/10/2016,758280,0,1597,7
367005,7,1/2/2016,1/10/2016,758280,0,784,1
367006,1,1/2/2016,,693285,18,2445,3
367007,1,1/2/2016,,1730985,57,65,7
367007,2,1/2/2016,,1730985,57,1432,9
367008,1,1/2/2016,,763246,28,1951,3
367009,1,1/2/2016,,1512558,57,934,1
367009,2,1/2/2016,,1512558,57,930,8
367009,3,1/2/2016,,1512558,57,1436,5
367009,4,1/2/2016,,1512558,57,1547,3
367009,5,1/2/2016,,1512558,57,53,5
367010,1,1/2/2016,,1322959,66,917,1
367010,2,1/2/2016,,1322959,66,39,1
367011,1,1/2/2016,,507981,22,39,1
367012,1,1/2/2016,,209990,9,1653,5
367012,2,1/2/2016,,209990,9,145,3
367013,1,1/2/2016,,815458,31,1733,2
367013,2,1/2/2016,,815458,31,41,6
367014,1,1/2/2016,,1839627,56,1184,3
367015,1,1/2/2016,,911025,42,2296,7
367016,1,1/2/2016,,1633409,63,1487,1
367016,2,1/2/2016,,1633409,63,558,7
367016,3,1/2/2016,,1633409,63,206,3
367017,1,1/2/2016,,1612400,47,1203,4
367018,1,1/2/2016,,1301565,59,1245,2
367018,2,1/2/2016,,1301565,59,1973,4
367018,3,1/2/2016,,1301565,59,731,4
367019,1,1/2/2016,,793573,29,1947,2
367019,2,1/2/2016,,793573,29,1645,7
367019,3,1/2/2016,,793573,29,371,7
367020,1,1/2/2016,,799366,29,448,6
367020,2,1/2/2016,,799366,29,1975,1
367021,1,1/2/2016,,243917,10,1445,4
367021,2,1/2/2016,,243917,10,1624,6
367021,3,1/2/2016,,243917,10,1615,2
367022,1,1/2/2016,,942807,42,1596,1
367022,2,1/2/2016,,942807,42,1253,7
367022,3,1/2/2016,,942807,42,663,3
367022,4,1/2/2016,,942807,42,1194,6
367023,1,1/2/2016,,129318,2,1139,5
367023,2,1/2/2016,,129318,2,1031,2
367024,1,1/2/2016,,1713253,50,302,8
367024,2,1/2/2016,,1713253,50,2105,5
367025,1,1/2/2016,,1736623,56,1608,1
367025,2,1/2/2016,,1736623,56,1641,2
367025,3,1/2/2016,,1736623,56,1574,3
367026,1,1/2/2016,,1836599,53,2218,2
367026,2,1/2/2016,,1836599,53,78,1
367027,1,1/2/2016,,1482586,53,2451,3
367027,2,1/2/2016,,1482586,53,1645,1
367027,3,1/2/2016,,1482586,53,1728,2
367028,1,1/2/2016,1/11/2016,607356,0,976,1
367028,2,1/2/2016,1/11/2016,607356,0,2017,3
367029,1,1/2/2016,,1260533,66,1607,1
367029,2,1/2/2016,,1260533,66,1223,7
367030,1,1/2/2016,,1843882,51,2010,7
367030,2,1/2/2016,,1843882,51,426,1
367031,1,1/2/2016,1/7/2016,909014,0,120,3
367031,2,1/2/2016,1/7/2016,909014,0,382,2
